date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:02	4328/4328	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Sep%202024%2015:44:02%20GMT	https://elcioportfolio.vercel.app/robots.txt		(from )
12:44:02	36269/36269	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2015:44:02%20GMT	https://elcioportfolio.vercel.app/	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/index.html	(from )
12:44:03	20523/20523	---MCZ	200	added ('OK')	text/css	etag:W/%223253a3b5755a0a4d41122a6b2844073d%22	https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css	(from https://elcioportfolio.vercel.app/)
12:44:03	3891/3891	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271696ac0b8c613228d2bc29b6832a61b%22	https://elcioportfolio.vercel.app/_next/static/chunks/webpack-a785c941f80c2152.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/webpack-a785c941f80c2152.js	(from https://elcioportfolio.vercel.app/)
12:44:03	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%2289ef5cbeacece4bcb75bbefbaec33dc9%22	https://elcioportfolio.vercel.app/_next/static/chunks/fd9d1056-dfc0d8741092951e.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/fd9d1056-dfc0d8741092951e.js	(from https://elcioportfolio.vercel.app/)
12:44:03	123338/123338	---MCZ	200	added ('OK')	application/javascript	etag:W/%225099dda57dfa7277920285717e672bed%22	https://elcioportfolio.vercel.app/_next/static/chunks/23-04a98523db97e20f.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/23-04a98523db97e20f.js	(from https://elcioportfolio.vercel.app/)
12:44:04	462/462	---M--	200	added ('OK')	application/javascript	etag:%228eedc9e8ab2a40373eb62a03672a39d1%22	https://elcioportfolio.vercel.app/_next/static/chunks/main-app-f73cdb3bce740b12.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/main-app-f73cdb3bce740b12.js	(from https://elcioportfolio.vercel.app/)
12:44:04	7098/7098	---MCZ	200	added ('OK')	application/javascript	etag:W/%22324a083e3762365e407cfb2b755a6bbe%22	https://elcioportfolio.vercel.app/_next/static/chunks/8e1d74a4-00c9bd7f321b47ad.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/8e1d74a4-00c9bd7f321b47ad.js	(from https://elcioportfolio.vercel.app/)
12:44:04	979/979	---M--	200	added ('OK')	application/javascript	etag:%22feb419ff023728f118d54440b7f5ac77%22	https://elcioportfolio.vercel.app/_next/static/chunks/94730671-2c047c359afcb8cf.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/94730671-2c047c359afcb8cf.js	(from https://elcioportfolio.vercel.app/)
12:44:05	546/546	---M--	200	added ('OK')	application/javascript	etag:%2275149945354de953495aa769d4a9b163%22	https://elcioportfolio.vercel.app/_next/static/chunks/5e22fd23-8054125263c9cfa7.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/5e22fd23-8054125263c9cfa7.js	(from https://elcioportfolio.vercel.app/)
